Time,Demand,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m,cloud_cover
2026-05-21 00:00:00,301.22,27.5,92,0.0,2.0,52
2026-05-21 01:00:00,293.05,27.2,93,0.0,5.9,27
2026-05-21 02:00:00,284.85,27.0,94,0.0,8.4,15
2026-05-21 03:00:00,276.58,26.2,94,0.1,10.4,30
2026-05-21 04:00:00,256.86,26.1,93,0.1,5.9,51
2026-05-21 05:00:00,235.23,25.0,96,1.6,9.7,23
2026-05-21 06:00:00,211.04,25.3,96,0.2,1.0,92
2026-05-21 07:00:00,157.41,25.1,96,5.9,11.5,100
2026-05-21 08:00:00,196.52,25.5,94,7.3,14.5,100
2026-05-21 09:00:00,241.22,25.6,93,8.6,12.7,100
2026-05-21 10:00:00,262.7,25.9,91,4.5,15.5,99
2026-05-21 11:00:00,264.77,27.6,85,0.6,14.4,91
2026-05-21 12:00:00,296.64,26.5,88,0.4,10.1,98
2026-05-21 13:00:00,310.52,28.2,82,0.7,11.1,100
2026-05-21 14:00:00,296.11,28.7,81,0.6,10.7,100
2026-05-21 15:00:00,277.43,28.9,82,0.4,9.6,79
2026-05-21 16:00:00,253.66,29.1,81,0.5,10.9,31
2026-05-21 17:00:00,264.9,28.9,83,0.4,6.2,84
2026-05-21 18:00:00,266.15,29.6,78,0.1,4.9,63
2026-05-21 19:00:00,306.58,28.1,85,0.3,7.3,79
2026-05-21 20:00:00,308.14,27.1,91,0.0,4.1,20
2026-05-21 21:00:00,309.7,26.9,92,0.0,2.0,12
2026-05-21 22:00:00,304.04,26.7,93,0.0,4.5,2
2026-05-21 23:00:00,287.33,26.5,94,0.0,4.7,7
2026-05-22 00:00:00,264.13,27.0,92,0.0,6.0,9
2026-05-22 01:00:00,254.42,26.5,93,0.0,6.0,5
2026-05-22 02:00:00,249.63,25.7,93,0.1,7.1,58
2026-05-22 03:00:00,241.09,24.2,97,1.9,9.1,52
2026-05-22 04:00:00,232.68,24.1,98,1.5,6.7,99
2026-05-22 05:00:00,211.03,24.1,98,3.6,7.8,61
2026-05-22 06:00:00,208.42,25.1,95,0.3,4.9,27
2026-05-22 07:00:00,218.06,25.7,96,0.8,8.5,93
2026-05-22 08:00:00,243.19,26.4,91,0.2,10.9,17
2026-05-22 09:00:00,261.41,27.9,83,0.0,10.7,34
2026-05-22 10:00:00,271.23,29.6,75,0.0,6.1,53
2026-05-22 11:00:00,291.62,31.4,66,0.0,3.6,62
2026-05-22 12:00:00,309.95,30.6,73,0.0,5.8,100
2026-05-22 13:00:00,315.72,31.0,71,0.0,6.7,100
2026-05-22 14:00:00,283.38,31.3,71,0.0,4.9,46
2026-05-22 15:00:00,268.02,30.8,73,0.0,5.7,97
2026-05-22 16:00:00,245.6,30.5,77,0.6,6.7,54
2026-05-22 17:00:00,254.0,30.6,77,0.1,6.0,19
2026-05-22 18:00:00,252.16,28.4,91,0.0,3.2,70
2026-05-22 19:00:00,286.95,26.9,94,1.0,5.3,61
2026-05-22 20:00:00,304.34,26.8,96,0.3,7.0,20
2026-05-22 21:00:00,299.96,26.1,98,0.1,7.4,38
2026-05-22 22:00:00,293.82,25.9,97,0.0,8.3,27
2026-05-22 23:00:00,278.42,25.3,97,0.1,6.8,75
2026-05-23 00:00:00,267.47,25.4,100,0.9,6.2,100
2026-05-23 01:00:00,255.02,25.3,97,3.0,4.5,100
2026-05-23 02:00:00,233.77,24.4,97,4.1,5.8,100
2026-05-23 03:00:00,226.89,24.3,97,1.1,5.8,62
2026-05-23 04:00:00,228.12,23.6,97,3.5,8.7,99
2026-05-23 05:00:00,197.26,23.5,98,3.3,9.2,100
2026-05-23 06:00:00,202.01,24.8,98,14.3,11.2,69
2026-05-23 07:00:00,215.89,25.0,96,0.2,10.7,66
2026-05-23 08:00:00,229.58,24.4,94,1.1,15.8,59
2026-05-23 09:00:00,258.57,25.6,91,1.4,6.5,82
2026-05-23 10:00:00,274.45,27.3,85,0.2,10.9,100
2026-05-23 11:00:00,303.92,29.3,78,0.6,10.1,73
2026-05-23 12:00:00,323.6,28.9,77,0.4,12.3,100
2026-05-23 13:00:00,326.79,29.4,77,0.0,12.5,100
2026-05-23 14:00:00,320.87,30.0,76,0.0,12.2,100
2026-05-23 15:00:00,287.0,31.0,75,0.0,9.0,44
2026-05-23 16:00:00,271.67,31.3,76,0.0,10.8,55
2026-05-23 17:00:00,263.17,30.8,79,0.2,9.0,52
2026-05-23 18:00:00,259.67,28.3,86,0.1,5.9,77
2026-05-23 19:00:00,307.7,24.4,98,2.4,2.7,82
2026-05-23 20:00:00,312.86,25.5,96,0.3,8.3,2
2026-05-23 21:00:00,283.34,25.4,97,0.0,7.8,5
2026-05-23 22:00:00,247.69,25.0,96,0.0,12.6,12
2026-05-23 23:00:00,214.01,25.0,96,0.0,8.6,6
2026-05-24 00:00:00,239.31,24.3,96,0.0,9.4,35
2026-05-24 01:00:00,224.55,24.3,95,0.0,10.1,13
2026-05-24 02:00:00,206.45,24.2,97,0.0,11.0,100
2026-05-24 03:00:00,209.16,23.8,95,0.0,9.4,100
2026-05-24 04:00:00,201.8,24.0,95,0.0,7.8,100
2026-05-24 05:00:00,195.63,24.0,96,0.0,10.2,100
2026-05-24 06:00:00,196.07,25.8,99,0.3,8.5,100
2026-05-24 07:00:00,210.12,26.5,97,0.2,12.6,100
2026-05-24 08:00:00,232.47,27.4,94,0.1,10.9,100
2026-05-24 09:00:00,255.59,27.5,93,0.1,8.8,100
2026-05-24 10:00:00,275.53,27.4,94,0.3,8.2,100
2026-05-24 11:00:00,320.26,27.0,91,0.7,12.7,100
2026-05-24 12:00:00,313.92,28.7,83,1.5,11.5,30
2026-05-24 13:00:00,315.48,29.9,79,0.1,9.2,13
2026-05-24 14:00:00,300.3,31.9,69,0.1,5.6,23
2026-05-24 15:00:00,285.12,32.8,63,0.1,7.6,23
2026-05-24 16:00:00,273.84,32.9,63,0.0,9.9,15
2026-05-24 17:00:00,268.89,32.4,70,0.0,7.1,13
2026-05-24 18:00:00,271.77,29.9,78,0.0,13.0,11
2026-05-24 19:00:00,306.28,28.8,81,0.0,12.3,5
2026-05-24 20:00:00,314.11,28.3,83,0.0,14.4,10
2026-05-24 21:00:00,289.01,27.2,83,0.0,15.4,7
2026-05-24 22:00:00,268.63,26.6,84,0.0,15.0,3
2026-05-24 23:00:00,225.39,26.2,85,0.0,14.7,0
2026-05-25 00:00:00,244.05,25.5,88,0.0,7.5,85
2026-05-25 01:00:00,233.2,25.1,92,2.0,14.6,99
2026-05-25 02:00:00,221.48,24.3,94,1.0,12.3,93
2026-05-25 03:00:00,212.23,24.2,95,0.1,10.6,53
2026-05-25 04:00:00,197.77,24.6,97,0.0,12.3,91
2026-05-25 05:00:00,166.67,23.2,98,3.0,18.1,100
2026-05-25 06:00:00,134.46,22.0,98,14.7,11.5,100
2026-05-25 07:00:00,158.38,22.7,95,0.0,9.9,100
2026-05-25 08:00:00,174.69,23.6,95,0.5,12.4,100
2026-05-25 09:00:00,221.8,25.6,88,0.0,10.0,52
2026-05-25 10:00:00,239.81,27.5,78,0.0,17.8,89
2026-05-25 11:00:00,260.37,28.3,77,0.0,10.7,75
2026-05-25 12:00:00,296.59,28.9,75,0.0,13.7,0
2026-05-25 13:00:00,310.68,29.9,70,0.0,11.5,1
2026-05-25 14:00:00,279.61,30.6,66,0.0,9.4,32
2026-05-25 15:00:00,266.54,30.7,66,0.0,10.8,30
2026-05-25 16:00:00,253.12,30.4,72,0.0,10.4,9
2026-05-25 17:00:00,239.82,29.9,75,0.1,10.5,28
2026-05-25 18:00:00,253.5,28.5,79,0.0,12.6,31
2026-05-25 19:00:00,280.4,27.5,82,0.0,14.8,26
2026-05-25 20:00:00,270.87,26.4,88,0.2,12.0,100
2026-05-25 21:00:00,253.28,25.2,93,0.3,16.6,97
2026-05-25 22:00:00,217.23,24.5,94,0.5,14.5,100
2026-05-25 23:00:00,224.51999999999998,24.0,95,0.3,15.1,100
2026-05-26 00:00:00,231.81,24.6,94,0.3,12.8,98
2026-05-26 01:00:00,197.4,23.9,94,0.8,14.4,88
2026-05-26 02:00:00,198.14,23.7,94,0.2,8.1,88
2026-05-26 03:00:00,195.76,23.8,95,0.1,8.6,100
2026-05-26 04:00:00,183.86,23.7,94,0.5,10.8,84
2026-05-26 05:00:00,178.6,23.2,95,3.6,13.4,95
2026-05-26 06:00:00,181.75,23.0,98,2.0,12.9,80
2026-05-26 07:00:00,202.77,24.1,91,0.0,11.2,63
2026-05-26 08:00:00,221.93,25.6,85,0.0,6.6,23
2026-05-26 09:00:00,238.49,27.2,79,0.0,4.6,40
2026-05-26 10:00:00,249.36,27.7,76,0.1,10.8,90
2026-05-26 11:00:00,253.56,28.4,74,0.0,12.9,62
2026-05-26 12:00:00,260.03,27.0,80,0.0,11.6,30
2026-05-26 13:00:00,274.32,28.7,72,0.0,14.1,5
2026-05-26 14:00:00,265.98,29.7,68,0.0,14.9,30
2026-05-26 15:00:00,259.64,30.0,66,0.0,13.0,100
2026-05-26 16:00:00,243.99,29.6,67,0.0,11.9,100
2026-05-26 17:00:00,237.38,28.7,72,0.0,10.9,96
2026-05-26 18:00:00,239.2,28.1,73,0.0,15.8,35
2026-05-26 19:00:00,269.65,26.7,77,0.0,10.8,100
2026-05-26 20:00:00,275.31,26.0,80,0.1,11.1,22
2026-05-26 21:00:00,260.93,25.2,84,0.1,11.9,26
2026-05-26 22:00:00,253.72,24.5,89,0.4,13.8,83
2026-05-26 23:00:00,242.23,23.8,94,0.8,13.4,80
2026-05-27 00:00:00,235.5,24.2,94,0.6,14.0,100
2026-05-27 01:00:00,222.8,24.0,94,0.1,10.8,100
2026-05-27 02:00:00,211.92,23.9,94,0.4,9.6,100
2026-05-27 03:00:00,204.83,23.5,96,0.5,12.2,100
2026-05-27 04:00:00,196.06,23.0,94,0.2,14.8,100
2026-05-27 05:00:00,180.86,23.0,92,0.1,10.6,100
2026-05-27 06:00:00,182.91,23.2,92,0.3,11.1,100
2026-05-27 07:00:00,192.87,23.3,94,0.1,11.3,100
2026-05-27 08:00:00,202.07,23.8,92,0.2,12.5,100
2026-05-27 09:00:00,215.71,24.6,89,0.0,11.6,100
2026-05-27 10:00:00,233.89,25.7,83,0.0,15.5,98
2026-05-27 11:00:00,242.3,27.0,76,0.0,12.3,100
2026-05-27 12:00:00,257.48,25.9,78,0.0,14.7,99
2026-05-27 13:00:00,258.64,26.0,78,0.0,11.6,87
2026-05-27 14:00:00,248.0,27.5,73,0.1,15.5,100
2026-05-27 15:00:00,237.05,27.4,72,0.0,12.5,41
2026-05-27 16:00:00,222.23,27.9,70,0.0,11.2,18
2026-05-27 17:00:00,214.45,27.5,71,0.0,10.0,17
2026-05-27 18:00:00,214.44,28.2,74,0.0,11.8,17
2026-05-27 19:00:00,240.03,25.6,80,0.0,16.4,2
2026-05-27 20:00:00,254.77,24.2,84,0.0,9.9,16
2026-05-27 21:00:00,239.29,24.0,86,0.0,6.7,6
2026-05-27 22:00:00,226.92,23.8,88,0.0,5.9,4
2026-05-27 23:00:00,212.14,23.7,90,0.0,7.2,41
2026-05-28 00:00:00,204.08,25.0,90,0.0,7.7,80
2026-05-28 01:00:00,195.29,24.3,90,0.0,9.0,70
2026-05-28 02:00:00,188.73,23.1,96,0.9,10.4,100
2026-05-28 03:00:00,181.01,22.4,96,0.2,9.8,80
2026-05-28 04:00:00,171.12,22.1,97,0.0,9.4,40
2026-05-28 05:00:00,167.46,22.0,97,0.0,7.2,9
2026-05-28 06:00:00,177.33,24.0,95,0.0,9.4,21
2026-05-28 07:00:00,210.81,25.0,89,0.0,12.1,29
2026-05-28 08:00:00,213.92,25.6,84,0.0,10.4,10
2026-05-28 09:00:00,204.22,26.8,80,0.2,9.9,48
2026-05-28 10:00:00,197.79,26.6,82,0.1,10.1,53
2026-05-28 11:00:00,198.55,27.6,77,0.0,10.4,18
2026-05-28 12:00:00,198.93,29.1,70,0.0,7.9,49
2026-05-28 13:00:00,199.94,29.9,68,0.0,9.7,12
2026-05-28 14:00:00,197.8,30.4,67,0.0,10.9,9
2026-05-28 15:00:00,192.74,30.3,66,0.2,12.4,27
2026-05-28 16:00:00,193.17,29.8,68,0.2,10.0,20
2026-05-28 17:00:00,192.21,29.3,71,0.1,8.5,20
2026-05-28 18:00:00,194.71,23.7,89,0.1,12.2,16
2026-05-28 19:00:00,222.54,23.8,88,0.0,7.8,17
2026-05-28 20:00:00,240.47,23.7,92,0.0,8.1,12
2026-05-28 21:00:00,234.7,24.0,92,0.0,9.2,10
2026-05-28 22:00:00,228.37,24.1,92,0.0,9.4,4
2026-05-28 23:00:00,214.55,24.1,92,0.0,7.5,13
2026-05-29 00:00:00,216.07,24.8,90,0.0,6.2,13
2026-05-29 01:00:00,206.55,24.3,93,0.0,5.3,17
2026-05-29 02:00:00,198.68,24.3,94,0.0,6.1,33
2026-05-29 03:00:00,185.78,24.2,96,0.0,7.8,26
2026-05-29 04:00:00,180.66,24.2,96,0.0,8.9,12
2026-05-29 05:00:00,176.42,24.1,96,0.0,8.8,43
2026-05-29 06:00:00,176.91,25.2,92,0.0,11.3,25
2026-05-29 07:00:00,181.17,25.9,87,0.0,13.8,27
2026-05-29 08:00:00,193.49,27.0,83,0.0,15.2,37
2026-05-29 09:00:00,206.13,28.4,78,0.0,14.8,30
2026-05-29 10:00:00,215.7,29.2,77,0.0,13.5,45
2026-05-29 11:00:00,223.22,29.7,75,0.2,8.9,23
2026-05-29 12:00:00,235.95,30.9,69,0.0,8.9,34
2026-05-29 13:00:00,246.94,31.4,69,0.0,6.7,9
2026-05-29 14:00:00,231.84,31.7,67,0.0,7.4,8
2026-05-29 15:00:00,230.11,31.6,65,0.0,6.6,57
2026-05-29 16:00:00,207.69,31.8,63,0.0,3.5,60
2026-05-29 17:00:00,203.01,30.2,66,0.1,9.1,73
2026-05-29 18:00:00,190.67,28.2,78,0.2,7.6,90
2026-05-29 19:00:00,213.95,27.2,83,0.0,3.6,99
2026-05-29 20:00:00,234.48,26.5,89,0.0,3.8,100
2026-05-29 21:00:00,236.89,26.4,89,0.0,6.7,99
2026-05-29 22:00:00,232.32,25.8,90,0.0,5.1,99
2026-05-29 23:00:00,206.77,25.2,91,0.0,5.2,93
2026-05-30 00:00:00,204.38,26.0,89,0.0,8.6,68
2026-05-30 01:00:00,199.19,25.6,92,0.0,2.3,100
2026-05-30 02:00:00,194.06,25.5,93,0.0,2.9,100
2026-05-30 03:00:00,189.76,25.4,94,0.0,0.4,54
2026-05-30 04:00:00,182.45,24.8,97,0.0,3.0,74
2026-05-30 05:00:00,176.02,24.5,96,0.0,5.3,83
2026-05-30 06:00:00,175.3,25.4,97,0.0,5.1,62
2026-05-30 07:00:00,194.83,25.4,93,0.2,8.5,94
2026-05-30 08:00:00,206.69,25.2,90,0.4,4.7,55
2026-05-30 09:00:00,220.56,26.6,85,0.3,13.6,38
